Customer ID,State,Location Code,Gender,Marital Status,Education,Employment Status,Income (USD)
JV40853,California,Suburban,1,Divorced,High School or Below,Employed,"$61,886.00 "
NG59515,California,Suburban,0,Married,College,Employed,"$52,693.00 "
VL32622,California,Suburban,1,Married,High School or Below,Employed,"$82,887.00 "
KA25468,California,Suburban,0,Married,Master,Employed,"$46,177.00 "
XJ85947,Oregon,Urban,1,Divorced,College,Employed,"$88,782.00 "
TC99043,California,Suburban,1,Divorced,Master,Disabled,"$16,181.00 "
ZF48094,Oregon,Urban,1,Married,High School or Below,Employed,"$51,032.00 "
PJ71030,Oregon,Suburban,0,Single,High School or Below,Unemployed,NILL
YW47108,California,Suburban,0,Married,College,Employed,"$45,743.00 "
TB17648,Arizona,Suburban,0,Married,College,Employed,"$39,718.00 "
YP75411,Arizona,Suburban,0,Single,College,Unemployed,NILL
UC33108,California,Suburban,0,Married,Bachelor,Employed,"$32,375.00 "
EN38348,Oregon,Rural,1,Married,High School or Below,Employed,"$45,039.00 "
KK64803,California,Suburban,0,Married,High School or Below,Employed,"$82,320.00 "
JC29850,California,Suburban,0,Married,Bachelor,Unemployed,NILL
EN61670,Arizona,Urban,1,Married,Doctor,Employed,"$68,931.00 "
FY13480,California,Suburban,0,Single,High School or Below,Unemployed,NILL
SV43220,Oregon,Rural,0,Married,College,Employed,"$37,256.00 "
MT97446,California,Urban,1,Married,Master,Employed,"$26,441.00 "
WN76039,Nevada,Suburban,1,Single,Bachelor,Unemployed,NILL
JU75786,Oregon,Rural,1,Married,Master,Unemployed,NILL
PN35535,California,Suburban,1,Married,College,Employed,"$98,475.00 "
OP26403,California,Suburban,1,Married,College,Employed,"$32,017.00 "
DH13219,Washington,Suburban,0,Married,Bachelor,Employed,"$57,428.00 "
SM10031,California,Suburban,0,Married,Master,Unemployed,NILL
QG25316,Nevada,Suburban,1,Married,High School or Below,Unemployed,NILL
OB55054,Oregon,Suburban,0,Single,Bachelor,Employed,"$88,410.00 "
MH81246,Oregon,Urban,0,Married,High School or Below,Employed,"$36,247.00 "
EG40823,Oregon,Suburban,1,Married,Bachelor,Unemployed,NILL
BN13780,California,Suburban,1,Married,Bachelor,Unemployed,NILL
GN61665,Arizona,Suburban,0,Married,Bachelor,Employed,"$47,170.00 "
MP80287,California,Suburban,1,Single,College,Unemployed,NILL
TO55363,Oregon,Suburban,1,Married,High School or Below,Employed,"$57,335.00 "
SI58884,California,Suburban,0,Married,College,Retired,"$17,220.00 "
NT75612,Oregon,Urban,1,Married,College,Employed,"$22,784.00 "
BL29046,Oregon,Urban,1,Married,Doctor,Employed,"$68,931.00 "
WO12850,Nevada,Rural,1,Divorced,Bachelor,Employed,"$21,500.00 "
YP53257,Oregon,Suburban,1,Married,Bachelor,Retired,"$14,290.00 "
BH11344,Oregon,Rural,1,Single,Doctor,Employed,"$37,009.00 "
QK29271,California,Suburban,0,Single,Bachelor,Unemployed,NILL
LH94176,Arizona,Suburban,0,Divorced,High School or Below,Employed,"$38,595.00 "
EO95166,Oregon,Urban,0,Divorced,Bachelor,Employed,"$41,167.00 "
HW56522,Arizona,Rural,0,Married,Bachelor,Employed,"$35,322.00 "
UQ24268,Oregon,Suburban,1,Married,High School or Below,Unemployed,NILL
DA26490,California,Suburban,0,Married,Bachelor,Employed,"$21,366.00 "
WL40338,California,Urban,1,Married,Bachelor,Employed,"$35,625.00 "
CJ15590,Oregon,Suburban,1,Divorced,Bachelor,Employed,"$32,720.00 "
LA14484,Nevada,Suburban,0,Married,High School or Below,Retired,"$27,972.00 "
UG12132,Washington,Urban,1,Married,College,Employed,"$77,693.00 "
CH38655,Oregon,Rural,0,Married,Bachelor,Employed,"$90,456.00 "
EK40672,California,Rural,0,Single,College,Medical Leave,"$22,981.00 "
EK91340,Oregon,Suburban,0,Married,Bachelor,Employed,"$31,266.00 "
CN19138,Arizona,Suburban,1,Single,Bachelor,Unemployed,NILL
DW19309,Oregon,Suburban,0,Married,High School or Below,Employed,"$65,726.00 "
WO29605,Oregon,Rural,1,Married,College,Employed,"$48,875.00 "
SB79528,Oregon,Suburban,0,Single,College,Unemployed,NILL
HN38084,Nevada,Suburban,0,Married,High School or Below,Employed,"$51,008.00 "
DO48071,California,Rural,1,Married,College,Employed,"$40,516.00 "
GR42174,Oregon,Suburban,0,Single,College,Unemployed,NILL
OZ97304,Arizona,Suburban,1,Single,High School or Below,Unemployed,NILL
FP67637,Nevada,Urban,0,Married,Bachelor,Employed,"$93,818.00 "
VA30351,Oregon,Suburban,1,Single,High School or Below,Employed,"$74,454.00 "
AJ58038,California,Suburban,1,Married,Bachelor,Unemployed,NILL
FX80133,California,Urban,1,Married,Master,Employed,"$48,569.00 "
RD87161,Washington,Suburban,1,Married,High School or Below,Unemployed,NILL
PT42203,California,Rural,0,Married,College,Employed,"$78,617.00 "
SF57173,Oregon,Suburban,0,Married,Master,Employed,"$84,394.00 "
KU29408,Washington,Rural,0,Single,Master,Employed,"$37,722.00 "
HH49391,Oregon,Suburban,0,Divorced,High School or Below,Retired,"$15,741.00 "
NN66592,California,Urban,0,Married,Bachelor,Employed,"$73,758.00 "
EO51920,Oregon,Rural,1,Married,High School or Below,Employed,"$69,096.00 "
BN80677,Oregon,Suburban,0,Single,Bachelor,Employed,"$25,023.00 "
EG94409,Nevada,Suburban,1,Single,High School or Below,Unemployed,NILL
RD96782,California,Suburban,1,Married,Bachelor,Unemployed,NILL
LM79063,Arizona,Suburban,1,Divorced,Doctor,Employed,"$76,506.00 "
LQ23049,California,Suburban,1,Divorced,High School or Below,Medical Leave,"$25,965.00 "
AX39008,Oregon,Urban,0,Divorced,Bachelor,Employed,"$80,409.00 "
CD14267,Nevada,Rural,0,Married,College,Employed,"$60,334.00 "
DU39756,Nevada,Suburban,1,Single,Master,Employed,"$29,462.00 "
ZN59196,Oregon,Suburban,1,Married,Bachelor,Medical Leave,"$14,108.00 "
YC83239,Washington,Suburban,1,Single,Bachelor,Unemployed,NILL
BY84257,Arizona,Suburban,0,Single,College,Unemployed,NILL
MR77933,Arizona,Suburban,1,Divorced,Bachelor,Disabled,"$11,885.00 "
RD40721,California,Suburban,0,Divorced,High School or Below,Unemployed,NILL
KJ50265,Washington,Suburban,0,Married,High School or Below,Disabled,"$27,951.00 "
QC50643,California,Urban,1,Married,Bachelor,Employed,"$52,721.00 "
YL91587,Arizona,Suburban,0,Single,High School or Below,Employed,"$48,911.00 "
DC62428,Arizona,Suburban,0,Married,High School or Below,Employed,"$20,244.00 "
DF65548,California,Suburban,1,Married,Master,Employed,"$26,680.00 "
QF91596,Nevada,Urban,1,Single,Bachelor,Employed,"$82,763.00 "
RE46032,Nevada,Suburban,0,Single,College,Medical Leave,"$23,203.00 "
DW37404,California,Urban,1,Divorced,Bachelor,Employed,"$20,532.00 "
SS28002,Arizona,Urban,1,Married,High School or Below,Employed,"$600,567.00 "
HQ60388,Oregon,Suburban,1,Married,High School or Below,Employed,"$50,446.00 "
HS77089,Washington,Suburban,0,Single,Bachelor,Unemployed,NILL
FG16885,Arizona,Suburban,0,Single,College,Unemployed,NILL
JL93248,Oregon,Suburban,1,Divorced,High School or Below,Disabled,"$18,884.00 "
XB64207,Arizona,Urban,1,Married,Bachelor,Employed,"$86,101.00 "
QS36363,Arizona,Suburban,1,Married,High School or Below,Employed,"$26,149.00 "
RI69055,California,Rural,1,Married,High School or Below,Employed,"$58,172.00 "
LL73047,California,Suburban,1,Divorced,High School or Below,Disabled,"$28,672.00 "
JR45097,Oregon,Suburban,0,Single,College,Unemployed,NILL
EK50729,Oregon,Suburban,0,Divorced,Bachelor,Unemployed,NILL
RA98783,Arizona,Urban,1,Divorced,Bachelor,Employed,"$33,806.00 "
BC62782,Arizona,Suburban,1,Married,College,Employed,"$48,534.00 "
ON59472,Arizona,Suburban,0,Married,High School or Below,Medical Leave,"$21,921.00 "
OH11674,Arizona,Suburban,1,Divorced,Bachelor,Employed,"$51,584.00 "
IV74747,California,Suburban,0,Divorced,Doctor,Unemployed,NILL
TN64240,California,Suburban,1,Divorced,Bachelor,Employed,"$42,582.00 "
IP87756,Washington,Suburban,0,Single,High School or Below,Unemployed,NILL
RF64040,California,Rural,1,Married,Bachelor,Unemployed,NILL
JV97593,California,Suburban,1,Married,Bachelor,Employed,"$92,653.00 "
BA87216,California,Suburban,0,Divorced,College,Employed,"$50,555.00 "
JJ66819,Oregon,Rural,1,Divorced,Bachelor,Employed,"$79,867.00 "
RE12758,California,Suburban,0,Married,High School or Below,Employed,"$26,116.00 "
IP84574,Oregon,Suburban,1,Single,College,Employed,"$54,840.00 "
JL21509,California,Suburban,0,Married,College,Medical Leave,"$20,978.00 "
HM55802,California,Suburban,1,Married,Bachelor,Disabled,"$17,870.00 "
NS10490,Oregon,Suburban,1,Married,Bachelor,Employed,"$83,235.00 "
QG25195,Oregon,Suburban,1,Single,Bachelor,Unemployed,NILL
HJ64239,California,Suburban,1,Single,College,Unemployed,NILL
SZ56338,Oregon,Suburban,1,Married,High School or Below,Employed,"$37,995.00 "
RR66500,California,Rural,0,Married,Master,Employed,"$87,462.00 "
SG54382,Arizona,Suburban,0,Married,Bachelor,Employed,"$25,964.00 "
KA62636,Oregon,Urban,0,Single,High School or Below,Employed,"$97,917.00 "
GW56797,California,Suburban,0,Single,High School or Below,Unemployed,NILL
SP41790,California,Suburban,0,Married,Bachelor,Unemployed,NILL
HO61691,Arizona,Suburban,1,Divorced,Bachelor,Employed,"$72,006.00 "
MF19231,California,Suburban,0,Married,Master,Employed,"$28,377.00 "
GM98732,California,Suburban,1,Married,College,Unemployed,NILL
KO95143,California,Suburban,0,Married,High School or Below,Employed,"$37,910.00 "
TF35512,Oregon,Suburban,1,Married,College,Employed,"$48,117.00 "
EA27048,California,Urban,1,Married,High School or Below,Employed,"$64,125.00 "
TC88451,Nevada,Urban,1,Married,High School or Below,Employed,"$88,055.00 "
HJ21793,Oregon,Suburban,1,Married,Bachelor,Unemployed,NILL
TI19394,Oregon,Suburban,0,Married,College,Employed,"$80,714.00 "
IQ73438,California,Suburban,0,Single,Bachelor,Employed,"$74,015.00 "
WX18073,Arizona,Suburban,0,Married,Bachelor,Unemployed,NILL
GW42895,Oregon,Urban,1,Married,Bachelor,Employed,"$77,803.00 "
TO84268,California,Urban,0,Married,Master,Employed,"$60,964.00 "
IC61020,Oregon,Suburban,1,Divorced,High School or Below,Employed,"$88,360.00 "
ZM70632,California,Urban,1,Married,Bachelor,Employed,"$60,668.00 "
JM62924,Washington,Suburban,0,Married,Bachelor,Employed,"$37,534.00 "
YB58778,California,Rural,1,Single,College,Employed,"$81,064.00 "
YW85018,Nevada,Suburban,0,Married,Bachelor,Employed,"$26,790.00 "
XF89906,Arizona,Suburban,0,Married,High School or Below,Disabled,"$29,295.00 "
CC30924,Oregon,Urban,0,Married,College,Employed,"$30,110.00 "
GE47180,Nevada,Rural,0,Married,High School or Below,Employed,"$65,974.00 "
GA71186,Nevada,Urban,0,Married,High School or Below,Employed,"$83,392.00 "
FB95288,California,Suburban,0,Married,High School or Below,Unemployed,NILL
CK39096,Oregon,Suburban,0,Married,High School or Below,Unemployed,NILL
TX34322,Oregon,Suburban,0,Married,College,Unemployed,NILL
WT21922,Arizona,Rural,1,Married,High School or Below,Employed,"$65,348.00 "
TS53731,California,Rural,1,Married,College,Employed,"$79,674.00 "
BP90016,California,Urban,0,Married,Master,Employed,"$78,032.00 "
NE79174,California,Suburban,0,Married,Bachelor,Employed,"$41,228.00 "
SH36774,California,Suburban,0,Single,High School or Below,Employed,"$28,262.00 "
TE61015,Oregon,Suburban,0,Married,College,Unemployed,NILL
IC43478,California,Suburban,0,Single,Bachelor,Employed,"$34,923.00 "
VB87946,California,Urban,0,Married,College,Employed,"$49,714.00 "
VK48036,Oregon,Suburban,1,Single,College,Employed,"$79,027.00 "
GJ63103,Oregon,Suburban,1,Married,High School or Below,Medical Leave,"$27,869.00 "
KC22636,California,Rural,1,Married,High School or Below,Employed,"$33,881.00 "
AQ30231,California,Suburban,1,Married,Bachelor,Unemployed,NILL
PJ59176,California,Rural,0,Married,High School or Below,Employed,"$51,209.00 "
XB91559,Washington,Suburban,0,Married,College,Employed,"$44,051.00 "
TP15362,Oregon,Suburban,0,Divorced,College,Employed,"$28,013.00 "
NW41789,Oregon,Suburban,0,Single,Bachelor,Unemployed,NILL
WW85018,Washington,Suburban,0,Single,Bachelor,Employed,"$45,430.00 "
LR61007,Arizona,Urban,0,Married,High School or Below,Employed,"$79,253.00 "
VL97142,Oregon,Rural,0,Married,College,Employed,"$68,507.00 "
LM76366,Nevada,Suburban,0,Married,High School or Below,Employed,"$28,564.00 "
RU76604,Arizona,Suburban,0,Married,College,Employed,"$46,900.00 "
WE13528,California,Rural,1,Divorced,High School or Below,Employed,"$77,058.00 "
SG86615,Oregon,Urban,0,Married,High School or Below,Employed,"$40,260.00 "
PG20605,Arizona,Suburban,0,Single,College,Unemployed,NILL
MU64306,California,Rural,0,Married,College,Employed,"$57,074.00 "
WL99637,Arizona,Suburban,0,Married,Bachelor,Employed,"$27,293.00 "
XN34686,Oregon,Suburban,0,Married,High School or Below,Employed,"$41,396.00 "
LU63980,Nevada,Suburban,0,Married,College,Unemployed,NILL
ZJ90079,Arizona,Suburban,1,Married,College,Employed,"$64,816.00 "
JB76199,Oregon,Suburban,1,Married,College,Employed,"$40,903.00 "
VC87846,Oregon,Suburban,0,Divorced,High School or Below,Employed,"$46,998.00 "
EG94326,Nevada,Suburban,0,Married,High School or Below,Employed,"$77,265.00 "
ZF40143,Nevada,Suburban,1,Single,College,Employed,"$48,197.00 "
KV99550,California,Suburban,0,Married,High School or Below,Unemployed,NILL
SJ29837,Washington,Suburban,1,Single,High School or Below,Unemployed,NILL
SF46129,California,Suburban,0,Married,High School or Below,Employed,"$66,267.00 "
XZ51937,California,Suburban,1,Divorced,Master,Employed,"$79,487.00 "
RA65645,California,Rural,0,Married,High School or Below,Employed,"$95,697.00 "
LI11560,California,Suburban,1,Married,Bachelor,Employed,"$57,883.00 "
NM70181,Oregon,Rural,0,Married,Master,Employed,"$25,748.00 "
DQ50258,California,Suburban,0,Single,College,Unemployed,NILL
GA93544,Oregon,Suburban,1,Single,High School or Below,Unemployed,NILL
CN90378,California,Rural,1,Married,High School or Below,Employed,"$54,780.00 "
KZ95954,Arizona,Suburban,0,Single,High School or Below,Unemployed,NILL
XT35473,Arizona,Suburban,0,Divorced,Bachelor,Retired,"$25,905.00 "
ME77513,Nevada,Urban,1,Married,Master,Employed,"$83,707.00 "
CO71312,Arizona,Suburban,1,Married,High School or Below,Disabled,"$10,384.00 "
BP34620,California,Suburban,1,Married,Bachelor,Disabled,"$19,949.00 "
WA94988,California,Suburban,1,Single,Bachelor,Employed,"$57,245.00 "
OS39723,Oregon,Suburban,1,Married,Doctor,Employed,"$68,665.00 "
NY93341,Arizona,Rural,1,Married,High School or Below,Employed,"$33,882.00 "
GL34504,California,Suburban,1,Married,High School or Below,Employed,"$65,103.00 "
QF74806,California,Suburban,0,Married,College,Employed,"$20,396.00 "
NE21279,California,Suburban,1,Married,Master,Unemployed,NILL
DS46955,California,Urban,1,Married,Master,Employed,"$41,456.00 "
AY43037,Oregon,Suburban,0,Single,High School or Below,Employed,"$36,670.00 "
CY12922,Arizona,Suburban,0,Single,College,Unemployed,NILL
NG62780,Oregon,Suburban,1,Single,High School or Below,Unemployed,NILL
NT36519,California,Suburban,0,Married,College,Employed,"$32,967.00 "
MX93376,California,Suburban,1,Divorced,College,Retired,"$26,714.00 "
RO18530,Washington,Rural,0,Single,Master,Employed,"$42,557.00 "
SU41739,California,Urban,0,Married,College,Unemployed,NILL
JA34909,California,Suburban,1,Married,College,Medical Leave,"$17,576.00 "
MR33456,Washington,Suburban,0,Single,High School or Below,Employed,"$59,839.00 "
EM89554,Oregon,Rural,1,Married,Bachelor,Employed,"$48,091.00 "
LT41574,Oregon,Suburban,1,Married,Bachelor,Employed,"$34,717.00 "
NF78904,California,Rural,1,Married,Bachelor,Employed,"$67,871.00 "
OK31456,California,Suburban,1,Single,Bachelor,Employed,"$51,643.00 "
MK56815,California,Urban,0,Married,College,Employed,"$54,538.00 "
GU42671,Arizona,Suburban,1,Married,Bachelor,Medical Leave,"$16,654.00 "
HA72996,Nevada,Rural,1,Married,College,Employed,"$75,648.00 "
QB15345,California,Suburban,1,Single,High School or Below,Unemployed,NILL
ZP27971,California,Suburban,0,Married,High School or Below,Employed,"$26,050.00 "
CW49887,California,Suburban,1,Divorced,Master,Employed,"$79,487.00 "
VG56765,Arizona,Rural,0,Married,High School or Below,Employed,"$95,697.00 "
EH27304,California,Suburban,1,Single,Doctor,Employed,"$56,502.00 "
RD73104,Washington,Suburban,1,Divorced,High School or Below,Disabled,"$12,181.00 "
VN59368,California,Suburban,1,Married,College,Employed,"$72,608.00 "
AS60178,Nevada,Urban,1,Married,Bachelor,Employed,"$54,655.00 "
HI74419,Washington,Urban,0,Married,College,Employed,"$50,825.00 "
DB71122,California,Urban,1,Married,Doctor,Medical Leave,"$15,144.00 "
YL65673,California,Suburban,1,Single,Bachelor,Unemployed,NILL
SQ19467,Oregon,Suburban,1,Single,College,Disabled,"$25,222.00 "
FG46258,Washington,Urban,1,Married,College,Medical Leave,"$16,483.00 "
SI20178,California,Suburban,0,Married,High School or Below,Employed,"$80,892.00 "
NX62002,Oregon,Suburban,0,Divorced,College,Unemployed,NILL
AX28231,Washington,Urban,0,Married,High School or Below,Employed,"$49,345.00 "
ZR41880,Nevada,Rural,1,Single,College,Employed,"$75,180.00 "
YL91288,California,Urban,1,Single,Master,Employed,"$98,044.00 "
JS76871,Oregon,Rural,0,Married,High School or Below,Employed,"$62,082.00 "
CQ57225,California,Suburban,0,Single,Bachelor,Unemployed,NILL
QD34785,Arizona,Suburban,1,Married,Bachelor,Unemployed,NILL
VN30344,California,Suburban,0,Single,College,Unemployed,NILL
CT62892,California,Suburban,1,Married,Bachelor,Unemployed,NILL
IW31117,California,Rural,0,Single,Doctor,Employed,"$21,142.00 "
VN44400,California,Urban,1,Married,College,Employed,"$86,073.00 "
UW20734,California,Rural,1,Married,College,Employed,"$82,918.00 "
RZ27571,Washington,Suburban,1,Married,Bachelor,Employed,"$25,544.00 "
KR62797,Arizona,Suburban,1,Married,High School or Below,Employed,"$83,297.00 "
DP26592,Oregon,Urban,0,Single,High School or Below,Employed,"$86,617.00 "
JP22499,California,Urban,0,Single,Bachelor,Employed,"$43,285.00 "
LA80525,Nevada,Suburban,0,Divorced,Bachelor,Unemployed,NILL
CL70684,California,Suburban,0,Single,High School or Below,Unemployed,NILL
WM25415,Oregon,Urban,1,Divorced,High School or Below,Employed,"$34,430.00 "
EF99768,California,Suburban,1,Divorced,High School or Below,Employed,"$37,800.00 "
OT66924,Oregon,Suburban,1,Married,Bachelor,Disabled,"$14,606.00 "
FL59259,Nevada,Suburban,1,Divorced,High School or Below,Medical Leave,"$13,792.00 "
JQ59145,California,Suburban,0,Married,High School or Below,Unemployed,NILL
LM34525,Washington,Rural,1,Divorced,College,Employed,"$71,592.00 "
GA79817,Arizona,Suburban,0,Single,Bachelor,Unemployed,NILL
ZI73222,California,Suburban,0,Married,High School or Below,Unemployed,NILL
VU48786,Washington,Urban,0,Married,Master,Employed,"$62,219.00 "
NC98544,Nevada,Suburban,0,Married,High School or Below,Employed,"$26,292.00 "
MS11057,Oregon,Rural,0,Married,Bachelor,Employed,"$84,539.00 "
VE85103,Nevada,Suburban,0,Married,College,Medical Leave,"$20,567.00 "
EZ48947,Nevada,Rural,0,Single,College,Employed,"$67,197.00 "
ER19995,Washington,Urban,1,Single,College,Employed,"$99,790.00 "
HB48518,Nevada,Rural,0,Married,College,Employed,"$31,409.00 "
NN65590,California,Suburban,1,Single,College,Employed,"$72,335.00 "
JR89623,California,Rural,1,Married,High School or Below,Employed,"$76,025.00 "
DS81757,Oregon,Suburban,0,Single,College,Unemployed,NILL
YR34119,Washington,Rural,1,Married,College,Employed,"$30,916.00 "
DB42794,California,Suburban,0,Married,College,Employed,"$58,842.00 "
LT16517,Oregon,Urban,1,Married,High School or Below,Employed,"$62,053.00 "
DH93217,California,Suburban,1,Single,Master,Employed,"$52,651.00 "
GK71720,Oregon,Suburban,1,Single,High School or Below,Unemployed,NILL
HT92952,California,Rural,0,Married,Bachelor,Employed,"$82,664.00 "
OY96856,Oregon,Urban,0,Married,Bachelor,Employed,"$71,391.00 "
ZK11389,Oregon,Rural,0,Married,Bachelor,Employed,"$76,358.00 "
BN87372,Oregon,Suburban,0,Divorced,Bachelor,Employed,"$75,644.00 "
YC54142,Washington,Suburban,0,Single,High School or Below,Unemployed,NILL
EW16697,Arizona,Rural,1,Married,High School or Below,Employed,"$50,201.00 "
FP86246,California,Urban,0,Divorced,Bachelor,Employed,"$74,656.00 "
GN18675,California,Rural,0,Married,Bachelor,Employed,"$70,784.00 "
GC81619,Oregon,Suburban,1,Divorced,Master,Employed,"$79,487.00 "
ZQ94561,Washington,Rural,0,Married,College,Employed,"$80,590.00 "
YX15941,Oregon,Suburban,0,Married,College,Employed,"$26,030.00 "
TW66679,Oregon,Rural,0,Married,High School or Below,Employed,"$75,741.00 "
BU79786,Washington,Suburban,1,Married,Bachelor,Employed,"$56,274.00 "
BU16704,Oregon,Suburban,1,Single,High School or Below,Unemployed,NILL
BV63942,Washington,Suburban,0,Married,High School or Below,Employed,"$76,184.00 "
GQ11852,Oregon,Urban,1,Married,College,Employed,"$39,017.00 "
HX44948,Oregon,Rural,0,Married,Bachelor,Employed,"$85,448.00 "
BF72793,California,Suburban,1,Single,High School or Below,Unemployed,NILL
YU35386,Arizona,Suburban,1,Married,Bachelor,Employed,"$63,621.00 "
KN27565,Oregon,Rural,0,Single,Master,Employed,"$34,075.00 "
JT47995,Arizona,Suburban,1,Married,College,Unemployed,NILL
AS62048,Arizona,Suburban,0,Single,Bachelor,Unemployed,NILL
ZX56541,California,Suburban,0,Married,Bachelor,Employed,"$45,329.00 "
UB51030,Washington,Suburban,1,Single,High School or Below,Unemployed,NILL
DS45844,California,Rural,0,Married,College,Unemployed,NILL
IU94124,Arizona,Suburban,0,Single,College,Unemployed,NILL
WW52683,California,Rural,1,Married,Bachelor,Employed,"$61,067.00 "
LM19287,Oregon,Suburban,1,Married,High School or Below,Unemployed,NILL
KR48903,Washington,Suburban,0,Married,High School or Below,Employed,"$88,264.00 "
FJ24418,Arizona,Suburban,1,Married,Doctor,Unemployed,NILL
DH68234,California,Rural,0,Divorced,Master,Employed,"$56,070.00 "
EO99750,Nevada,Rural,1,Married,Master,Employed,"$29,053.00 "
JL25091,California,Rural,0,Single,Bachelor,Employed,"$79,284.00 "
AC75391,Arizona,Suburban,1,Divorced,College,Employed,"$35,091.00 "
WG15841,California,Suburban,0,Married,Bachelor,Employed,"$26,790.00 "
YD45065,Oregon,Suburban,1,Divorced,College,Unemployed,NILL
SH60585,Nevada,Urban,1,Married,High School or Below,Employed,"$65,538.00 "
DJ42087,California,Suburban,1,Married,High School or Below,Employed,"$24,581.00 "
DH68319,Oregon,Suburban,1,Married,College,Employed,"$62,506.00 "
LR69185,Nevada,Suburban,0,Single,College,Unemployed,NILL
KP68957,California,Rural,1,Married,Bachelor,Employed,"$41,059.00 "
FY74419,Nevada,Suburban,1,Married,Bachelor,Employed,"$54,507.00 "
XB35510,California,Rural,0,Married,Bachelor,Employed,"$38,072.00 "
PZ75671,Oregon,Suburban,1,Married,College,Unemployed,NILL
JX52708,California,Suburban,0,Divorced,Bachelor,Medical Leave,"$25,617.00 "
DZ81394,Oregon,Suburban,1,Single,High School or Below,Unemployed,NILL
